## File:        /l1/obj/a/a/s/aas7611.0001.001/pageview.dat
## Created:     Wed Aug  2 14:11:00 EDT 2000
##
#filename	seq	pagenum	confid	feature
00000001.tif	0001	00000[a]		UNS
00000002.tif	0002	00000[b]		UNS
00000003.tif	0003	00000[i]		UNS
00000004.tif	0004	0000[ii]		UNS
00000005.tif	0005	000[iii]		UNS
00000006.tif	0006	0000[iv]		UNS
00000007.tif	0007	0000000v		UNS
00000008.tif	0008	000000vi		UNS
00000009.tif	0009	00000vii		UNS
00000010.tif	0010	0000viii		UNS
00000011.tif	0011	000000ix		UNS
00000012.tif	0012	0000000x		UNS
00000013.tif	0013	000000xi		UNS
00000014.tif	0014	00000xii		UNS
00000015.tif	0015	0000xiii		UNS
00000016.tif	0016	000[xiv]		UNS
00000017.tif	0017	0000[15]		UNS
00000018.tif	0018	0000[16]		UNS
00000019.tif	0019	00000017		UNS
00000020.tif	0020	00000018		UNS
00000021.tif	0021	00000019		UNS
00000022.tif	0022	00000020		UNS
00000023.tif	0023	000[20b]		UNS
00000024.tif	0024	000[20a]		UNS
00000025.tif	0025	00000021		UNS
00000026.tif	0026	00000022		UNS
00000027.tif	0027	00000023		UNS
00000028.tif	0028	00000024		UNS
00000029.tif	0029	00000025		UNS
00000030.tif	0030	00000026		UNS
00000031.tif	0031	00000027		UNS
00000032.tif	0032	00000028		UNS
00000033.tif	0033	00000029		UNS
00000034.tif	0034	00000030		UNS
00000035.tif	0035	000[30a]		UNS
00000036.tif	0036	000[30b]		UNS
00000037.tif	0037	00000031		UNS
00000038.tif	0038	00000032		UNS
00000039.tif	0039	00000033		UNS
00000040.tif	0040	00000034		UNS
00000041.tif	0041	00000035		UNS
00000042.tif	0042	00000036		UNS
00000043.tif	0043	000[36a]		UNS
00000044.tif	0044	000[36b]		UNS
00000045.tif	0045	00000037		UNS
00000046.tif	0046	00000038		UNS
00000047.tif	0047	00000039		UNS
00000048.tif	0048	00000040		UNS
00000049.tif	0049	000[40a]		UNS
00000050.tif	0050	000[40b]		UNS
00000051.tif	0051	00000041		UNS
00000052.tif	0052	00000042		UNS
00000053.tif	0053	00000043		UNS
00000054.tif	0054	00000044		UNS
00000055.tif	0055	00000045		UNS
00000056.tif	0056	00000046		UNS
00000057.tif	0057	00000047		UNS
00000058.tif	0058	00000048		UNS
00000059.tif	0059	00000049		UNS
00000060.tif	0060	00000050		UNS
00000061.tif	0061	00000051		UNS
00000062.tif	0062	00000052		UNS
00000063.tif	0063	00000053		UNS
00000064.tif	0064	00000054		UNS
00000065.tif	0065	00000055		UNS
00000066.tif	0066	00000056		UNS
00000067.tif	0067	00000057		UNS
00000068.tif	0068	00000058		UNS
00000069.tif	0069	000[58a]		UNS
00000070.tif	0070	000[58b]		UNS
00000071.tif	0071	00000059		UNS
00000072.tif	0072	00000060		UNS
00000073.tif	0073	00000061		UNS
00000074.tif	0074	00000062		UNS
00000075.tif	0075	00000063		UNS
00000076.tif	0076	00000064		UNS
00000077.tif	0077	00000065		UNS
00000078.tif	0078	00000066		UNS
00000079.tif	0079	000[66a]		UNS
00000080.tif	0080	000[66b]		UNS
00000081.tif	0081	00000067		UNS
00000082.tif	0082	00000068		UNS
00000083.tif	0083	00000069		UNS
00000084.tif	0084	00000070		UNS
00000085.tif	0085	000[70a]		UNS
00000086.tif	0086	000[70b]		UNS
00000087.tif	0087	00000071		UNS
00000088.tif	0088	00000072		UNS
00000089.tif	0089	000[72a]		UNS
00000090.tif	0090	000[72b]		UNS
00000091.tif	0091	00000073		UNS
00000092.tif	0092	00000074		UNS
00000093.tif	0093	00000075		UNS
00000094.tif	0094	00000076		UNS
00000095.tif	0095	000[76a]		UNS
00000096.tif	0096	000[76b]		UNS
00000097.tif	0097	00000077		UNS
00000098.tif	0098	00000078		UNS
00000099.tif	0099	00000079		UNS
00000100.tif	0100	00000080		UNS
00000101.tif	0101	00000081		UNS
00000102.tif	0102	00000082		UNS
00000103.tif	0103	000[82a]		UNS
00000104.tif	0104	000[82b]		UNS
00000105.tif	0105	00000083		UNS
00000106.tif	0106	00000084		UNS
00000107.tif	0107	00000085		UNS
00000108.tif	0108	00000086		UNS
00000109.tif	0109	00000087		UNS
00000110.tif	0110	00000088		UNS
00000111.tif	0111	000[88a]		UNS
00000112.tif	0112	000[88b]		UNS
00000113.tif	0113	00000089		UNS
00000114.tif	0114	00000090		UNS
00000115.tif	0115	00000091		UNS
00000116.tif	0116	00000092		UNS
00000117.tif	0117	00000093		UNS
00000118.tif	0118	00000094		UNS
00000119.tif	0119	00000095		UNS
00000120.tif	0120	00000096		UNS
00000121.tif	0121	000[96a]		UNS
00000122.tif	0122	000[96b]		UNS
00000123.tif	0123	00000097		UNS
00000124.tif	0124	00000098		UNS
00000125.tif	0125	00000099		UNS
00000126.tif	0126	00000100		UNS
00000127.tif	0127	00[100a]		UNS
00000128.tif	0128	00[100b]		UNS
00000129.tif	0129	00000101		UNS
00000130.tif	0130	00000102		UNS
00000131.tif	0131	00[102a]		UNS
00000132.tif	0132	00[102b]		UNS
00000133.tif	0133	00000103		UNS
00000134.tif	0134	00000104		UNS
00000135.tif	0135	00000105		UNS
00000136.tif	0136	00000106		UNS
00000137.tif	0137	00000107		UNS
00000138.tif	0138	00000108		UNS
00000139.tif	0139	00000109		UNS
00000140.tif	0140	00000110		UNS
00000141.tif	0141	00000111		UNS
00000142.tif	0142	00000112		UNS
00000143.tif	0143	00[112a]		UNS
00000144.tif	0144	00[112b]		UNS
00000145.tif	0145	00000113		UNS
00000146.tif	0146	00000114		UNS
00000147.tif	0147	00000115		UNS
00000148.tif	0148	00000116		UNS
00000149.tif	0149	00[116a]		UNS
00000150.tif	0150	00[116b]		UNS
